                0       TOTAL        AMBER     CONTACTS          SOL           HB  | TEMPERATURE
Sim Anneal  10000  4.4164e+03   2.8612e+03   2.6333e+03   1.3593e+03  -2.4374e+03  | 600.000
Sim Anneal  11000  4.3804e+03   2.8276e+03   2.6353e+03   1.3543e+03  -2.4369e+03  | 560.000
Sim Anneal  12000  4.2729e+03   2.7232e+03   2.6276e+03   1.3568e+03  -2.4346e+03  | 520.000
Sim Anneal  13000  4.1051e+03   2.7292e+03   2.4668e+03   1.3482e+03  -2.4392e+03  | 480.000
Sim Anneal  14000  4.0050e+03   2.6995e+03   2.4154e+03   1.3348e+03  -2.4447e+03  | 440.000
Sim Anneal  15000  3.9902e+03   2.6890e+03   2.3926e+03   1.3576e+03  -2.4490e+03  | 400.000
Sim Anneal  16000  3.8138e+03   2.5684e+03   2.3388e+03   1.3491e+03  -2.4424e+03  | 360.000
Sim Anneal  17000  3.8087e+03   2.5442e+03   2.3483e+03   1.3558e+03  -2.4396e+03  | 320.000
Sim Anneal  18000  3.7175e+03   2.4252e+03   2.3654e+03   1.3541e+03  -2.4273e+03  | 280.000
Sim Anneal  19000  3.6730e+03   2.3907e+03   2.3629e+03   1.3485e+03  -2.4292e+03  | 240.000
Sim Anneal  20000  3.6059e+03   2.3960e+03   2.2631e+03   1.3777e+03  -2.4309e+03  | 200.000
Sim Anneal  21000  3.5163e+03   2.3443e+03   2.2265e+03   1.3782e+03  -2.4327e+03  | 160.000
